机构名称,属地,县（区、市）,机构类别,机构级别,经营性质,统一社会信用代码,该USCC总记录数
嵊泗县人民医院,舟山,嵊泗县,综合医院,二级,非营利性（政府办）,12330922472230306U,5
浙江省台州医院,台州,临海市,综合医院,三级,非营利性（政府办）,12331000796490606H,5
台州市康复医院,台州,路桥区,康复医院,三级,非营利性（政府办）,12331000796490606H,5
台州市立医院,台州,椒江区,综合医院,三级,非营利性（政府办）,12331002472630676D,2
台州市第一人民医院,台州,黄岩区,综合医院,三级,非营利性（政府办）,12331003472690185U,3
台州市第一人民医院委羽山院区,台州,黄岩区,综合医院,三级,非营利性（政府办）,12331003472690185U,3
台州市路桥区中医院医疗服务共同体（台州市路桥区中医院）,台州,路桥区,中医（综合）医院,二级,非营利性（政府办）,12331004472710019E,3
三门县人民医院,台州,三门县,综合医院,三级,非营利性（政府办）,12331022472810415D,2
仙居县中医院,台州,仙居县,中医（综合）医院,二级,非营利性（政府办）,12331024472750029D,2
仙居县第五人民医院（仙居县红十字第五人民医院）,台州,仙居县,精神病医院,二级,非营利性（政府办）,123310244727506279,2
温岭市中医院,台州,温岭市,中医（综合）医院,三级,非营利性（政府办）,123310810873853447,3
温岭市第一人民医院滨海新城院区,台州,温岭市,综合医院,二级,非营利性（政府办）,12331081472723725Q,2
温岭市第一人民医院,台州,温岭市,综合医院,三级,非营利性（政府办）,123310817458062608,2
温岭市第五人民医院,台州,温岭市,精神病医院,二级,非营利性（政府办）,12331081E96970598J,2
台州市中西医结合医院,台州,温岭市,中西医结合医院,三级,非营利性（政府办）,12331081MB0264591E,2
临海市中医院医疗卫生服务共同体,台州,临海市,中医（综合）医院,二级,非营利性（政府办）,12331082472660170H,4
临海市第一人民医院医疗卫生服务共同体,台州,临海市,综合医院,二级,非营利性（政府办）,12331082472660445Y,4
临海市第二人民医院医疗卫生服务共同体,台州,临海市,综合医院,二级,非营利性（政府办）,1233108247266098XR,2
丽水市第二人民医院,丽水,莲都区,精神病医院,三级,非营利性（政府办）,12332500472260070Y,3
丽水市中心医院,丽水,莲都区,综合医院,三级,非营利性（政府办）,12332500472260169F,2
丽水市人民医院,丽水,莲都区,综合医院,三级,非营利性（政府办）,12332500472310648J,3
丽水市人民医院东城院区,丽水,莲都区,综合医院,三级,非营利性（政府办）,12332500472310648J,3
青田县中医医院温溪院区,丽水,青田县,中医（综合）医院,二级,非营利性（政府办）,1233252247234002XJ,2
青田县中医医院,丽水,青田县,中医（综合）医院,二级,非营利性（政府办）,1233252247234002XJ,2
遂昌县中医院,丽水,遂昌县,中医（综合）医院,二级,非营利性（政府办）,12332527472490271X,2
松阳县中医医院,丽水,松阳县,中医（综合）医院,二级,非营利性（政府办）,123325284725200392,2
萧山经济技术开发区医院,杭州,萧山区,综合医院,二级,非营利性（非政府办）,523301094704555525,5
义乌稠州医院,金华,义乌市,综合医院,二级,非营利性（非政府办）,52330782471773317R,2
义乌天祥医疗东方医院,金华,义乌市,综合医院,二级,非营利性（非政府办）,52330782758058396T,2
温岭东方医院,台州,温岭市,综合医院,二级,非营利性（非政府办）,52331081472729123P,2
慈林医院,宁波,慈溪市,综合医院,三级,营利性,91330200717884309P,2
