机构名称,统一社会信用代码,Excel等级(原始),Excel等级(标准),DB等级,DB记录ID
三门县健跳镇双港村卫生室,TE3310223300089480,未定级,无等级,未定级,64033.0
三门县健跳镇小莆村卫生室,TE3310223300133880,未定级,无等级,未定级,64162.0
三门县健跳镇峋岩村卫生室,TE3310223300089360,未定级,无等级,未定级,64040.0
三门县健跳镇港源村卫生室,TE3310223300091080,未定级,无等级,未定级,64037.0
三门县健跳镇琴江村卫生室,TE3310223300129100,未定级,无等级,未定级,64014.0
三门县健跳镇龙潭村卫生室,TE3310223300144800,未定级,无等级,未定级,64039.0
三门县六敖中学医务室,TE3310223300131050,未定级,无等级,未定级,63998.0
三门县医疗急救中心,12331022079715235k,未定级,无等级,未定级,64060.0
三门县妇幼保健计划生育服务中心,123310227549014978,未定级,无等级,未定级,64059.0
三门县横渡镇卫生院,12331022686674471Y,未定级,无等级,未定级,64002.0
三门县沙柳街道南亭村卫生室,TE3310223300144980,未定级,无等级,未定级,64011.0
三门县沙柳街道姚家村卫生室,TE3310223300110770,未定级,无等级,未定级,64012.0
三门县沙柳街道曼岙村卫生室,TE3310223300105880,未定级,无等级,未定级,63996.0
三门县沙柳街道社区卫生服务中心,1233102247281052XE,未定级,无等级,无级别,64003.0
三门县浦坝港镇三角塘村卫生室,TE3310223300119350,未定级,无等级,未定级,63991.0
三门县浦坝港镇上董村卫生室,TE3310223300136030,未定级,无等级,未定级,64027.0
三门县浦坝港镇下道头村卫生室,TE3310223300142270,未定级,无等级,未定级,64030.0
三门县浦坝港镇五小柱村卫生室,TE3310223300132600,未定级,无等级,未定级,64023.0
三门县浦坝港镇五支岙村卫生室,12331022782915140T,未定级,无等级,未定级,64024.0
三门县浦坝港镇仙岩村卫生室,TE3310223300119050,未定级,无等级,未定级,64009.0
三门县浦坝港镇大域村卫生室,TE3310223300343510,未定级,无等级,未定级,64065.0
三门县浦坝港镇方罗村卫生室,TE3310223300143180,未定级,无等级,未定级,64028.0
三门县浦坝港镇桃峙村卫生室,TE3310223300124920,未定级,无等级,未定级,63993.0
三门县浦坝港镇毛石源村卫生室,TE3310223300130630,未定级,无等级,未定级,64025.0
三门县浦坝港镇河里村卫生室,TE3310223300130560,未定级,无等级,未定级,64010.0
三门县浦坝港镇沿赤卫生院,12331022774396686X,未定级,无等级,无级别,63992.0
三门县浦坝港镇浬浦中心卫生院,123310226845433631,未定级,无等级,未定级,64013.0
三门县浦坝港镇茂林村卫生室,TE3310223300116740,未定级,无等级,未定级,64029.0
三门县浦坝港镇鹤井村卫生室,12331022771902045Y,未定级,无等级,未定级,64026.0
三门县浦坝港镇黄金坦村卫生室,TE3310223300147990,未定级,无等级,未定级,64008.0
三门县海润街道园里村卫生室,TE3310223300147760,未定级,无等级,未定级,64022.0
三门县海润街道园里村社区卫生服务站,TE3310223300503470,未定级,无等级,未定级,64034.0
三门县海润街道涛头村卫生室（1）,TE3310223300104270,未定级,无等级,未定级,63982.0
三门县海润街道社区卫生服务中心,12331022MB0Q64016K,未定级,无等级,未定级,63986.0
三门县海润街道葛岙卫生院,TE3310223300146800,未定级,无等级,未定级,64035.0
三门县海游中学医务室,12331022472812090x,未定级,无等级,未定级,64064.0
三门县海游街道上坑村卫生室,TE3310223300370840,未定级,无等级,未定级,64016.0
三门县海游街道下坑村卫生室,TE3310223300372010,未定级,无等级,未定级,64017.0
三门县海游街道下谢村卫生室,TE3310223300101400,未定级,无等级,未定级,64042.0
三门县海游街道善岙杨村卫生室,TE3310223300090380,未定级,无等级,未定级,64018.0
三门县海游街道城西村卫生室,TE3310223300363250,未定级,无等级,未定级,64052.0
三门县海游街道小坑村卫生室,TE3310223300133560,未定级,无等级,未定级,64044.0
三门县海游街道松门村卫生室,TE3310223300104930,未定级,无等级,未定级,64020.0
三门县海游街道社区卫生服务中心驻监所卫生所,TE3310223300146990,未定级,无等级,未定级,64046.0
三门县海游街道祥和村卫生室,TE3310223300380970,未定级,无等级,未定级,64041.0
三门县海游街道金叶村卫生室,123310225609907273,未定级,无等级,未定级,64045.0
三门县珠岙镇中心卫生院,12331022777201784K,未定级,无等级,未定级,64021.0
三门县珠岙镇吴岙村卫生室,12331022759087340Q,未定级,无等级,未定级,64004.0
三门县珠岙镇桐岩李村卫生室,TE3310223300094820,未定级,无等级,未定级,64007.0
三门县珠岙镇清湖村卫生室,TE3310223300107750,未定级,无等级,未定级,64005.0
三门县珠岙镇西陈村卫生室,TE3310223300124240,未定级,无等级,未定级,64001.0
三门县珠岙镇金湖洋村卫生室,TE3310223300098640,未定级,无等级,未定级,64006.0
三门县职业中专医务室,12331022472810861W,未定级,无等级,未定级,63997.0
三门县花桥镇两头门村卫生室,1233102268665020XN,未定级,无等级,未定级,63995.0
三门县英华外国语学校医务室,TE3310223300485560,未定级,无等级,未定级,64163.0
三门县蛇蟠乡卫生院,1233102255287243XX,未定级,无等级,未定级,64000.0
三门县蛇蟠乡黄泥洞村卫生室,TE3310223300104370,未定级,无等级,未定级,63999.0
三门口腔医院,91331022MACWFJUD9T,未定级,无等级,未定级,64056.0
三门君同骨伤医院（台州三门君同骨伤医院有限公司）,91331022344079242C,未定级,无等级,未定级,64072.0
三门家平中医诊所,92331022MAD9ALG29T,未定级,无等级,未定级,64101.0
三门康卫医院,91331022MA28G8664T,未定级,无等级,未定级,63989.0
三门康宁医院,52331022MJ98515725,未定级,无等级,未定级,64083.0
三门康泽门诊部,91331022MA2DXXP015,未定级,无等级,未定级,63988.0
三门弘景康复医院,91331022MA28G05827,未定级,无等级,未定级,64048.0
三门核电有限公司医务室,91331022773136954N,未定级,无等级,未定级,64043.0
三门范氏中医诊所,TE3310223300515200,未定级,无等级,未定级,64164.0
上望街道北隅村卫生室,TE3303813300477190,未定级,无等级,未定级,47486.0
上望街道南隅村卫生室,TE3303813300480190,未定级,无等级,未定级,47482.0
上望街道横塘头村卫生室,TE3303813300279290,未定级,无等级,未定级,47493.0
上望街道永光村卫生室,TE3303813300285430,未定级,无等级,未定级,46957.0
上汽大众汽车有限公司宁波分公司医务室,91330201587475485L,未定级,无等级,未定级,39672.0
上海世外教育附属吴兴小学医务室,12330502MB1L86626Y,未定级,无等级,未定级,52720.0
上海外国语大学秀洲外国语学校医务室,12330411581693692P,未定级,无等级,未定级,51286.0
上海杉达学院嘉善光彪学院医务室,123304217458348008,未定级,无等级,未定级,50814.0
上海财经大学浙江学院医务室,TE3307033300413760,未定级,无等级,未定级,56727.0
上虞眼科医院（绍兴上虞眼科医院、绍兴上虞眼视光医院）,91330604MA288R1T90,未定级,无等级,未定级,53826.0
东山街道上埠村第二卫生室,TE3303813300280250,未定级,无等级,未定级,47608.0
东山街道肖宅村卫生室,TE3303813300278470,未定级,无等级,未定级,46903.0
东港张氏盲人医疗按摩所,92330903MA2EU039XK,未定级,无等级,未定级,63133.0
东港李舟雷盲人医疗按摩所,TE3309033300443850,未定级,无等级,未定级,63074.0
东钱湖微笑口腔门诊部,92330201MA2AFUJJXW,未定级,无等级,未定级,42349.0
东阳一心中医诊所,TE3307833300500460,未定级,无等级,未定级,56716.0
东阳中学医务室,TE3307833300401060,未定级,无等级,未定级,56377.0
东阳丽莱医疗美容门诊部,TE3307833300446890,未定级,无等级,未定级,56084.0
东阳乙心堂门诊部,92330783MA29RMHM4Y,未定级,无等级,未定级,56155.0
东阳亲乐医院,91330783MA8G73WF9K,未定级,无等级,未定级,56140.0
东阳亲和医院,TE3307833300404290,未定级,无等级,未定级,56146.0
东阳亲齿口腔门诊部有限公司,91330783MABTH4RC7A,未定级,无等级,未定级,56089.0
东阳仁爱综合门诊部,91330783MA2EC6N36X,未定级,无等级,未定级,56252.0
东阳众诚松中医诊所,91330783MAED9LM863,未定级,无等级,未定级,56111.0
东阳何氏中医诊所,91330783MAE5TTRX6R,未定级,无等级,未定级,56137.0
东阳俞国桥中医诊所,92330783MAD9XY1M8L,未定级,无等级,未定级,56482.0
东阳华呗口腔门诊部有限公司,91330783MA2MP21K25,未定级,无等级,未定级,56216.0
东阳华呗口腔门诊部有限公司横店口腔门诊部,91330783MA8G4D1K3W,未定级,无等级,未定级,56184.0
东阳南健综合门诊部,91330783776455205J,未定级,无等级,未定级,56209.0
东阳博众口腔医院,91330783MA2M55KY7G,未定级,无等级,未定级,56183.0
东阳吴丽正中医诊所,91330783MAK2H9Y68B,未定级,无等级,未定级,56055.0
东阳哲玺口腔门诊部,91330783MA7EE8DW5E,未定级,无等级,未定级,56069.0
东阳圆成中医诊所,91330783MAE84JY69B,未定级,无等级,未定级,56141.0
东阳守国盲人医疗按摩所,TE3307833300466100,未定级,无等级,未定级,56253.0
东阳完美口腔门诊部,91330783MA2HWH349F,未定级,无等级,未定级,56208.0
东阳寒晓中医诊所,92330783MABNBYCG8P,未定级,无等级,未定级,56711.0
东阳市三单乡三单村底吉卫生室,TE3307833300396580,未定级,无等级,未定级,56215.0
东阳市三单乡卫生院,12330783683110881Y,未定级,无等级,未定级,56125.0
东阳市三单乡大蟠溪村卫生室,TE3307833300401500,未定级,无等级,未定级,56214.0
东阳市三单乡金航村金钩卫生室,TE3307833300398950,未定级,无等级,未定级,56213.0
东阳市东阳江镇八达村卫生室,12330783669195612J,未定级,无等级,未定级,56284.0
东阳市东阳江镇茜畴村卫生室（口腔科）,TE3307833300399750,未定级,无等级,未定级,56283.0
东阳市中天高级中学医务室,52330783733193698T,未定级,无等级,未定级,56387.0
东阳市佐村镇上村村卫生室,TE3307833300401360,未定级,无等级,未定级,56336.0
东阳市佐村镇中心卫生院,TE3307833300397270,未定级,无等级,未定级,56128.0
东阳市佐村镇宅口村卫生室,TE3307833300400750,未定级,无等级,未定级,56332.0
东阳市佐村镇罗峰村卫生室,TE3307833300399620,未定级,无等级,未定级,56334.0
东阳市佐村镇西营村卫生室,TE3307833300397000,未定级,无等级,未定级,56333.0
东阳市佐村镇谷岱村卫生室,TE3307833300396760,未定级,无等级,未定级,56335.0
东阳市佐村镇谷岱村溪北自然村卫生室,TE3307833300399060,未定级,无等级,未定级,56331.0
东阳市六石街道后里村卫生室,TE3307833300397590,未定级,无等级,未定级,56173.0
东阳市六石街道吴良平安卫生室,TE3307833300399010,未定级,无等级,未定级,56291.0
东阳市六石街道吴良村卫生室,TE3307833300404030,未定级,无等级,未定级,56175.0
东阳市六石街道吴良村卫生室（口腔科）,TE3307833300401270,未定级,无等级,未定级,56290.0
东阳市六石街道夏溪潭村卫生室,123307834718018329,未定级,无等级,未定级,56156.0
东阳市六石街道大兴街43号卫生室,TE3307833300403390,未定级,无等级,未定级,56292.0
东阳市六石街道樟村卫生室,TE3307833300396840,未定级,无等级,未定级,56177.0
东阳市六石街道横塘村卫生室,TE3307833300398070,未定级,无等级,未定级,56288.0
东阳市六石街道王村卫生室,TE3307833300397420,未定级,无等级,未定级,56174.0
东阳市六石街道社区卫生服务中心,TE3307833300402410,未定级,无等级,未定级,56051.0
东阳市六石街道蟠松村卫生室,TE3307833300400900,未定级,无等级,未定级,56176.0
东阳市六石街道裘家岭村卫生室,TE3307833300399160,未定级,无等级,未定级,56289.0
东阳市千祥镇三联村马墅卫生室,TE3307833300414804,未定级,无等级,未定级,56202.0
东阳市千祥镇中心卫生院,TE3307833300399200,未定级,无等级,未定级,56057.0
东阳市千祥镇凌头村卫生室,1233078376252605XK,未定级,无等级,未定级,56317.0
东阳市千祥镇千一村千三卫生室,TE3307833300401340,未定级,无等级,未定级,56201.0
东阳市千祥镇千二村前巷卫生室,TE3307833300398290,未定级,无等级,未定级,56207.0
东阳市千祥镇千二村吕宅卫生室（有刚）,TE3307833300403060,未定级,无等级,未定级,56206.0
东阳市千祥镇千南村卫生室,TE3307833300403330,未定级,无等级,未定级,56200.0
东阳市千祥镇后周村卫生室,TE3307833300404500,未定级,无等级,未定级,56205.0
东阳市千祥镇四友村降祥卫生室,TE3307833300402550,未定级,无等级,未定级,56204.0
东阳市千祥镇岭脚村卫生室,TE3307833300398690,未定级,无等级,未定级,56203.0
东阳市千祥镇甘棠村卫生室,TE3307833300397900,未定级,无等级,未定级,56316.0
东阳市千祥镇金村马英珍卫生室,TE3307833300399570,未定级,无等级,未定级,56199.0
东阳市南市街道南溪村卫生室,TE3307833300400210,未定级,无等级,未定级,56371.0
东阳市南市街道南溪村卫生室（口腔科）,TE3307833300400370,未定级,无等级,未定级,56358.0
东阳市南市街道南溪村卫生室（王海航）,TE3307833300403410,未定级,无等级,未定级,56355.0
东阳市南市街道大联村大田头卫生室,TE3307833300398500,未定级,无等级,未定级,56370.0
东阳市南市街道大联村高塘卫生室,TE3307833300400460,未定级,无等级,未定级,56359.0
东阳市南市街道安儒村安二卫生室,TE3307833300396710,未定级,无等级,未定级,56368.0
东阳市南市街道安儒村安四卫生室,TE3307833300404420,未定级,无等级,未定级,56366.0
东阳市南市街道广丰村月塘卫生室,TE3307833300396790,未定级,无等级,未定级,56356.0
东阳市南市街道槐堂村下槐堂卫生室,TE3307833300400440,未定级,无等级,未定级,56360.0
东阳市南市街道槐堂村寿塔卫生室,TE3307833300397220,未定级,无等级,未定级,56369.0
东阳市南市街道横城村洗马塘卫生室,TE3307833300398010,未定级,无等级,未定级,56365.0
东阳市南市街道横城自然村卫生室,TE3307833300401290,未定级,无等级,未定级,56367.0
东阳市南市街道社区卫生服务中心,1233078379095406XH,未定级,无等级,未定级,56050.0
东阳市南市街道陈宅村上陈宅卫生室,TE3307833300400670,未定级,无等级,未定级,56357.0
东阳市南马花园柳塘卫生室,TE3307833300398030,未定级,无等级,未定级,56256.0
东阳市南马镇东湖村东三自然村卫生室,TE3307833300396510,未定级,无等级,未定级,56259.0
东阳市南马镇东湖村卫生室,12330783760186207D,未定级,无等级,未定级,56093.0
东阳市南马镇华西村双桐卫生室,TE3307833300399720,未定级,无等级,未定级,56265.0
东阳市南马镇南马村卫生室,TE3307833300402350,未定级,无等级,未定级,56258.0
东阳市南马镇双峰村清塘卫生室,TE3307833300402480,未定级,无等级,未定级,56255.0
东阳市南马镇夏屠村卫生室,TE3307833300398370,未定级,无等级,未定级,56322.0
东阳市南马镇大仁村卫生室,TE3307833300397350,未定级,无等级,未定级,56263.0
东阳市南马镇大厦村卫生室,TE3307833300398470,未定级,无等级,未定级,56266.0
东阳市南马镇安恬村卫生室,TE3307833300399550,未定级,无等级,未定级,56320.0
东阳市南马镇振兴东路39号卫生室,TE3307833300398480,未定级,无等级,未定级,56262.0
东阳市南马镇泉府村卫生室,TE3307833300397620,未定级,无等级,未定级,56267.0
东阳市南马镇葛府村卫生室,TE3307833300404740,未定级,无等级,未定级,56323.0
东阳市南马镇葛府村葛三卫生室,TE3307833300402540,未定级,无等级,未定级,56254.0
东阳市南马镇西山脚村卫生室,TE3307833300397760,未定级,无等级,未定级,56257.0
东阳市南马镇金文涛卫生室,92330783MA7LU1UC4Q,未定级,无等级,未定级,56261.0
东阳市南马镇长畈村卫生室,TE3307833300402030,未定级,无等级,未定级,56293.0
东阳市南马镇防军南湖村卫生室,TE3307833300402230,未定级,无等级,未定级,56260.0
东阳市南马镇防军村卫生室,TE3307833300403170,未定级,无等级,未定级,56321.0
东阳市南马镇防军村防三卫生室,TE3307833300402280,未定级,无等级,未定级,56264.0
东阳市口腔医院,TE3307833300398670,未定级,无等级,未定级,56163.0
东阳市吴宁街道东岘社区卫生服务站,TE3307833300480800,未定级,无等级,未定级,56162.0
东阳市吴宁街道城南社区卫生服务站,TE3307833300401130,未定级,无等级,未定级,56168.0
东阳市吴宁街道朝阳社区卫生服务站,TE3307833300398340,未定级,无等级,未定级,56169.0
东阳市吴宁街道朝阳（振兴路）社区卫生服务站,123307837652109743,未定级,无等级,未定级,56167.0
东阳市吴宁街道河头卫生室,TE3307833300396920,未定级,无等级,未定级,56707.0
东阳市吴宁街道社区卫生服务中心,TE3307833300399450,未定级,无等级,未定级,56460.0
东阳市吴宁街道社区卫生服务中心东街社区卫生服务站,TE3307833300402960,未定级,无等级,未定级,56189.0
东阳市吴宁街道社区卫生服务中心兴平社区卫生服务站,TE3307833300404580,未定级,无等级,未定级,56190.0
东阳市吴宁街道社区卫生服务中心卢宅社区卫生服务站,TE3307833300403610,未定级,无等级,未定级,56188.0
东阳市吴宁街道社区卫生服务中心江滨社区卫生服务站,12330783732009502A,未定级,无等级,未定级,56186.0
东阳市吴宁街道社区卫生服务中心荷塘社区卫生服务站,TE3307833300401570,未定级,无等级,未定级,56185.0
东阳市吴宁街道社区卫生服务中心西街社区卫生服务站,TE3307833300404200,未定级,无等级,未定级,56187.0
东阳市吴宁街道荷塘社区一都许卫生室,TE3307833300399510,未定级,无等级,未定级,56268.0
东阳市吴宁街道西园社区卫生服务站,TE3307833300398940,未定级,无等级,未定级,56171.0
东阳市吴宁街道迎晖社区卫生服务站,TE3307833300403770,未定级,无等级,未定级,56170.0
东阳市城东街道冯楼村卫生室,TE3307833300400480,未定级,无等级,未定级,56181.0
东阳市城东街道和堂村卫生室,TE3307833300403780,未定级,无等级,未定级,56194.0
东阳市城东街道和堂村更楼下卫生室,TE3307833300399500,未定级,无等级,未定级,56196.0
东阳市城东街道塘西村同乐卫生室,TE3307833300399950,未定级,无等级,未定级,56329.0
东阳市城东街道奎吾堂村卫生室,TE3307833300401880,未定级,无等级,未定级,56193.0
东阳市城东街道寀卢村卫生室,TE3307833300401930,未定级,无等级,未定级,56178.0
东阳市城东街道徐田村卫生室(口腔),TE3307833300398910,未定级,无等级,未定级,56179.0
东阳市城东街道徐田村卫生室,TE3307833300396620,未定级,无等级,未定级,56324.0
东阳市城东街道李宅一村卫生室,TE3307833300402720,未定级,无等级,未定级,56195.0
东阳市城东街道李宅三村卫生室,TE3307833300399560,未定级,无等级,未定级,56191.0
东阳市城东街道渡城港卫生室,TE3307833300403000,未定级,无等级,未定级,56180.0
东阳市城东街道白火上村卫生室,TE3307833300400910,未定级,无等级,未定级,56192.0
东阳市城东街道社区卫生服务中心,12330783683112609J,未定级,无等级,未定级,56142.0
东阳市实验小学医务室,TE3307833300403450,未定级,无等级,未定级,56281.0
东阳市巍山镇一村卫生室,12330783789668189X,未定级,无等级,未定级,56092.0
东阳市巍山镇东张村卫生室,TE3307833300403870,未定级,无等级,未定级,56310.0
东阳市巍山镇东方红村卫生室,TE3307833300399970,未定级,无等级,未定级,56306.0
东阳市巍山镇中心卫生院,TE3307833300402700,未定级,无等级,未定级,56343.0
东阳市巍山镇八字墙村卫生室,TE3307833300404680,未定级,无等级,未定级,56350.0
东阳市巍山镇古渊头村卫生室,TE3307833300402610,未定级,无等级,未定级,56352.0
东阳市巍山镇同乐村水阁卫生室,TE3307833300396690,未定级,无等级,未定级,56311.0
东阳市巍山镇大爽村卫生室,TE3307833300398330,未定级,无等级,未定级,56339.0
东阳市巍山镇巍屏社区应村卫生室,TE3307833300398660,未定级,无等级,未定级,56319.0
东阳市巍山镇巍山一村赵富兰卫生室,TE3307833300403080,未定级,无等级,未定级,56314.0
东阳市巍山镇巍山五村卫生室,TE3307833300400250,未定级,无等级,未定级,56315.0
东阳市巍山镇巍山社区五村卫生室,TE3307833300399130,未定级,无等级,未定级,56308.0
东阳市巍山镇应村卫生室,TE3307833300403050,未定级,无等级,未定级,56307.0
东阳市巍山镇怀鲁村卫生室,TE3307833300399880,未定级,无等级,未定级,56338.0
东阳市巍山镇新屋村卫生室,TE3307833300413340,未定级,无等级,未定级,56341.0
东阳市巍山镇溪西村卫生室,TE3307833300396990,未定级,无等级,未定级,56313.0
东阳市巍山镇环峰村上沧塘卫生室,TE3307833300403760,未定级,无等级,未定级,56312.0
东阳市巍山镇白坦村卫生室,TE3307833300397640,未定级,无等级,未定级,56351.0
东阳市巍山镇白坦村吴思聪卫生室,TE3307833300402470,未定级,无等级,未定级,56318.0
东阳市巍山镇罗店村卫生室,TE3307833300401990,未定级,无等级,未定级,56342.0
东阳市巍山镇胡村卫生室,TE3307833300398600,未定级,无等级,未定级,56353.0
东阳市巍山镇象岗村卫生室,TE3307833300400110,未定级,无等级,未定级,56340.0
东阳市巍山镇雅联村下甲卫生室,TE3307833300402340,未定级,无等级,未定级,56309.0
东阳市技术学校医务室,TE3307833300404280,未定级,无等级,未定级,56416.0
东阳市机关事务保障服务中心医务室,12330783MB1C50078M,未定级,无等级,未定级,56219.0
东阳市横店李新洪卫生室,TE3307833300463470,未定级,无等级,未定级,56242.0
东阳市横店镇万盛南街122号卫生室,TE3307833300403800,未定级,无等级,未定级,56227.0
东阳市横店镇下校头村大桥头卫生室,TE3307833300403320,未定级,无等级,未定级,56235.0
东阳市横店镇下莲塘村卫生室,TE3307833300400700,未定级,无等级,未定级,56240.0
东阳市横店镇下莲塘村卫生室（张苏华）,TE3307833300400540,未定级,无等级,未定级,56241.0
东阳市横店镇中心卫生院,123307834718016647,未定级,无等级,未定级,56059.0
东阳市横店镇任湖田村卫生室,TE3307833300400790,未定级,无等级,未定级,56251.0
东阳市横店镇八仙街17号卫生室,TE3307833300402980,未定级,无等级,未定级,56238.0
东阳市横店镇南上湖社区上西小区卫生室,TE3307833300402320,未定级,无等级,未定级,56233.0
东阳市横店镇南上湖西村卫生室,TE3307833300399050,未定级,无等级,未定级,56246.0
东阳市横店镇南上湖西村卫生室（何义华）,TE3307833300396500,未定级,无等级,未定级,56237.0
东阳市横店镇后岑山二村卫生室,TE3307833300397020,未定级,无等级,未定级,56236.0
东阳市横店镇富贤塘村卫生室,TE3307833300402020,未定级,无等级,未定级,56228.0
东阳市横店镇屋基丘村卫生室,TE3307833300403040,未定级,无等级,未定级,56232.0
东阳市横店镇开元巷11号卫生室,TE3307833300399910,未定级,无等级,未定级,56243.0
东阳市横店镇张山坞村卫生室,TE3307833300397710,未定级,无等级,未定级,56245.0
东阳市横店镇文南村卫生室,TE3307833300401740,未定级,无等级,未定级,56239.0
东阳市横店镇方家村卫生室,TE3307833300399740,未定级,无等级,未定级,56234.0
东阳市横店镇杨店卫生室,TE3307833300402990,未定级,无等级,未定级,56247.0
东阳市横店镇横店村万盛街75号卫生室,TE3307833300397280,未定级,无等级,未定级,56248.0
东阳市横店镇江南路298—2号卫生室,TE3307833300400870,未定级,无等级,未定级,56226.0
东阳市横店镇沈坎头村卫生室,TE3307833300403720,未定级,无等级,未定级,56244.0
东阳市横店镇湖头陆村卫生室,TE3307833300401140,未定级,无等级,未定级,56250.0
东阳市横店镇米塘社区下湖严小区卫生室,TE3307833300396970,未定级,无等级,未定级,56230.0
东阳市横店镇维风社区后明村卫生室,TE3307833300401380,未定级,无等级,未定级,56225.0
东阳市横店镇联三村卫生室,TE3307833300402730,未定级,无等级,未定级,56229.0
东阳市横店镇荆溪社区荆浦小区卫生室,TE3307833300397600,未定级,无等级,未定级,56224.0
东阳市横店镇郭新宅村卫生室,TE3307833300402710,未定级,无等级,未定级,56231.0
东阳市歌山镇凤山村俞黄卫生室,TE3307833300402080,未定级,无等级,未定级,56220.0
东阳市歌山镇凤山村卫生室,TE3307833300404270,未定级,无等级,未定级,56221.0
东阳市歌山镇凤山村大园卫生室,TE3307833300397520,未定级,无等级,未定级,56223.0
东阳市歌山镇大里村卫生室,12330783776485092K,未定级,无等级,未定级,56278.0
东阳市歌山镇象塘夏楼村卫生室,TE3307833300404250,未定级,无等级,未定级,56222.0
东阳市江北街道下范村卫生室,TE3307833300401530,未定级,无等级,未定级,56393.0
东阳市江北街道亭塘社区石门小区卫生室,TE3307833300401280,未定级,无等级,未定级,56379.0
东阳市江北街道华店社区华店村卫生室,TE3307833300399470,未定级,无等级,未定级,56391.0
东阳市江北街道夏渠社区狮山杜小区卫生室,TE3307833300403030,未定级,无等级,未定级,56394.0
东阳市江北街道夏渠社区瞿村小区卫生室,TE3307833300400580,未定级,无等级,未定级,56392.0
东阳市江北街道月亮湾社区毛蓬小区卫生室,TE3307833300397140,未定级,无等级,未定级,56395.0
东阳市江北街道湖沧社区上郑村卫生室,TE3307833300402770,未定级,无等级,未定级,56390.0
东阳市江北街道社区卫生服务中心,12330783661702480T,未定级,无等级,未定级,56147.0
东阳市江北街道社区卫生服务中心亭塘社区卫生服务站,TE3307833300402070,未定级,无等级,未定级,56326.0
东阳市江北街道社区卫生服务中心凤凰社区卫生服务站,TE3307833300397570,未定级,无等级,未定级,56328.0
东阳市江北街道社区卫生服务中心夏渠社区卫生服务站,TE3307833300400530,未定级,无等级,未定级,56325.0
东阳市江北街道社区卫生服务中心月亮湾社区卫生服务站,TE3307833300397530,未定级,无等级,未定级,56327.0
东阳市湖溪镇中心卫生院,12330783762548320M,未定级,无等级,未定级,56299.0
东阳市湖溪镇南江村卫生室,TE3307833300403280,未定级,无等级,未定级,56302.0
东阳市湖溪镇后山店村卫生室,TE3307833300401010,未定级,无等级,未定级,56303.0
东阳市湖溪镇楼店村卫生室,TE3307833300402590,未定级,无等级,未定级,56305.0
东阳市湖溪镇清潭村卫生室,TE3307833300403500,未定级,无等级,未定级,56301.0
东阳市湖溪镇湖溪村卫生室,TE3307833300398080,未定级,无等级,未定级,56296.0
